Id;Default
2416; Addr
4343; AddrRead
7950; AddrWrite
743; Busy
2997; Com
20; Data
7918; DataRead
7966; DataWrite
370; Done
724; Enable
745; Error
747; ErrorID
2582; Execute
2395; Fct
45; JobBusy
43; JobDone
2294; LastReadErno
2924; LastReadWriteErno
760; LastWriteErno
2948; LastWriteMaskErno
35; ModMastErrorAct
37; ModMastErrorIDLast
772; ModRtuRead
4325; ModRtuReadWrite23
3063; ModRtuToken
263; ModRtuWrite
2406; Nb
4334; NbRead
7934; NbWrite
130; Online
14; Prio
762; ReadErrCnt
3690; ReadWriteErrCnt
3043; ReconnectPause
2307; ReconnectPauseAct
898; Selected
3015; Serv
765; TimeOut
940; Value1
2148; Value10
946; Value2
952; Value3
959; Value4
965; Value5
2094; Value6
2107; Value7
2121; Value8
2134; Value9
39; WarnAct
41; WarnIDLast
761; WriteErrCnt
2936; WriteMaskErrCnt
722;%s
15;%x
2580;(*  2: reserved - not used *)
3451;(*  3:Modbus function code. 1 OR 2 = read n bits$; 3 OR 4 = read n words. valid range is 1..4 *)
5570;(*  error count of writemask (FCT-22) errors *)
2302;(*  last error code of read error *)
2930;(*  last error code of read/Write (FCT-23) error *)
10273;(*  last error code of writemask (FCT-22) error*)
2314;(*  timeout or other modbus server error detected and reconnection pause is active *)
8037;(* 10: Read Write job active *)
12122;(* 1: Operation is completed without error (while outputs Busy and Error are FALSE). This output is TRUE for atleast one cycle or $R$Nuntil Execute is set to FALSE. *)
1907;(* 1: Operation is running (while output Error is FALSE) *)
7989;(* 2: Operation is running (while outputs Done and Error are FALSE) *)
1532;(* 2: reserved - not used *)
7129;(* 3: Modbus function code. 5 = write one bit$; 6 = write one word$; 15 = write n bits$; 16 = write n$R$N words$; 22 = Mask Write $; 23 = Read / Write multiple register  *)
1527;(* 3: Number of variables to be read. valid range is: 1 .. 125 - see general description, about when the value is stored in the $R$Nfunction block*)
3971;(* 3: Operation is stopped with error (while outputs Busy and Done are FALSE). This output is TRUE for at least one cycle or until $R$NExecute is set to FALSE. The output ErrorID gives more details about the error. *)
1931;(* 4: Active error in ModMast. Operation is running with error . This output is TRUE for at least one $R$Ncycle or until Enable is set to FALSE. The output ModMastErrorIDLast gives more details about the last$R$N error.  *)
4716;(* 4: Address from where to read in modbus server device. valid range is 0..65535 - see general description, about when the value $R$Nis stored in the function block *)
2560;(* 4: Error codes *)
2411;(* 4: number of variables to be read. valid range is: 1 .. 2000 *)
11212;(* 4: Number of variables to be written. valid range is: 1 .. 1968  - see general description, about when the value is stored in the $R$Nfunction block *)
2566;(* 5: Active error in ModMast. Operation is running with error . This output is TRUE for at least one cycle or until Enable is set to FALSE. The output ModMastErrorIDLast gives more details about the last error. *)
2421;(* 5: address from where to read in modbus server device. valid range is 0..65535 *)
3090;(* 5: Address to write to in modbus server device, valid range is 0..65535 - see general description, about when the value is stored$R$N in the function block *)
38;(* 5: Error code of last active error in ModMast  *)
11592;(* 5: First operand address of an operand area in the Modbus device, to which data read by the modbus server should be stored - $R$Nsee general description, about when the value is stored in the function block *)
1630;(* 6: Active warning. Operation is running with warning . This output is TRUE for at least one cycle or $R$Nuntil Enable is set to FALSE. The output WarnIDLast gives more details about the warning.$T  *)
8005;(* 6: Error code of last active error in ModMast, For error code description, refer to error codes in Modbus RTU library, $"AC500_ModbusRtu.ERROR_ID$". *)
3335;(* 6: Number of variables to be written. valid range is: 1 .. 121 - see general description, about when the value is stored in the $R$Nfunction block *)
