Id;Default;en;de;fr;es;zh
Err_1037;Test error;Test error;Testfehler;;;????
Err_12;Test pulse error -> Check wiring and sensor;Test pulse error -> Check wiring and sensor;Testimpuls-Fehler -> Verdrahtung und Sensor prüfen;;;?????? -> ????????
Err_13;Test pulse cross-talk error -> Check wiring and sensor. If this error persists, replace I/O module. Contact ABB technical support.;Test pulse cross-talk error -> Check wiring and sensor. If this error persists, replace I/O module. Contact ABB technical support.;Fehler Testimpuls Kanalübersprechen  -> Verdrahtung und Sensor prüfen. Falls der Fehler weiterhin besteht, E/A-Modul austauschen. Technischen Support von ABB kontaktieren.;;;???????? -> ????????. ?????????,??? I/O ??. ?? ABB ????.
Err_16128;Failed max wait run;Failed max wait run;Lauf max. Warten fehlgeschlagen;;;????????
Err_16129;Critical error, see log;Critical error, see log;Kritischer Fehler, siehe Protokoll;;;????,?????
Err_16130;Fatal error, see log;Fatal error, see log;Schwerwiegender Fehler, siehe Protokoll;;;????,?????
Err_16131;Timeout -> Replace I/O module;Timeout -> Replace I/O module;Timeout -> E/A-Modul austauschen;;;?? -> ?? I/O ??
Err_16133;Output data size mismatch;Output data size mismatch;Diskrepanz Ausgangsdatengröße;;;?????????
Err_16134;Input data size mismatch;Input data size mismatch;Diskrepanz Eingangsdatengröße;;;?????????
Err_16137;Overflow diagnosis buffer -> Restart;Overflow diagnosis buffer -> Restart;Überlauf Diagnosepuffer -> Neu Starten;;;??????? -> ????
Err_16138;Non-safety I/O: Voltage overflow at outputs (above UP3 level), Safety I/O: Process voltage too high -> Check terminals / Check process voltage;Non-safety I/O: Voltage overflow at outputs (above UP3 level), Safety I/O: Process voltage too high -> Check terminals / Check process voltage;Standard-E/A: Spannungsüberlauf an Ausgängen (über UP3-Niveau), Sicherheits-E/A: Prozessspannung zu hoch -> Terminals prüfen / Prozessspannung prüfen;;;??? I/O:???????(?? UP3 ??),?? I/O:?????? -> ???? / ??????
Err_16139;Process voltage UP or UP3 too low -> Check process voltage;Process voltage UP or UP3 too low -> Check process voltage;Prozessspannung UP oder UP3 zu niedrig -> Prozessspannung prüfen;;;???? UP ? UP3 ?? -> ??????
Err_16145;Error setting parameters;Error setting parameters;Fehlereinstellungsparameter;;;???????
Err_16146;Plausibility check failed (iParameter) -> Check configuration;Plausibility check failed (iParameter) -> Check configuration;Plausibilitätsprüfung fehlgeschlagen (iParameter) -> Konfiguration überprüfen;;;???????(i ??) -> ????
Err_16147;Checksum error -> Non-safety I/O: Replace I/O module. Safety I/O: Check safety configuration and CRCs for I- and F-Parameters.;Checksum error -> Non-safety I/O: Replace I/O module. Safety I/O: Check safety configuration and CRCs for I- and F-Parameters.;Prüfsummenfehler -> Standard-E/A: E/A-Modul austauschen. Sicherheits-E/A: Sicherheitskonfiguration und CRCs auf I- und F-Parameter prüfen.;;;?????? -> ??? I/O:?? I/O ??. ?? I/O:?? I ??? F ???????? CRC.
Err_16148;PROFIsafe communication error -> Restart I/O module. If this error persists, contact ABB technical support.;PROFIsafe communication error -> Restart I/O module. If this error persists, contact ABB technical support.;PROFIsafe-Kommunikationsfehler -> E/A-Modul neu starten. Falls der Fehler weiterhin besteht, technischen Support von ABB kontaktieren.;;;PROFIsafe ???? -> ???? I/O ??. ?????????,??? ABB ????.
Err_16149;No module data;No module data;Keine Moduldaten;;;?????
Err_16153;PROFIsafe watchdog timed out -> Restart I/O module. If this error persists, increase PROFIsafe watchdog time.;PROFIsafe watchdog timed out -> Restart I/O module. If this error persists, increase PROFIsafe watchdog time.;Timeout von PROFIsafe-Watchdog -> E/A-Modul neu starten. Falls der Fehler weiterhin besteht, PROFIsafe-Watchdog-Zeit verlängern.;;;PROFIsafe ????? -> ???? I/O ??. ?????????,??? PROFIsafe ?????.
Err_16154;Size of parameters expected by module differs from size provided by configuration -> Check master or configuration;Size of parameters expected by module differs from size provided by configuration -> Check master or configuration;Vom Modul erwartete Parametergröße weicht von der in der Konfiguration angegebenen Größe ab -> Master oder Konfiguration überprüfen;;;????????????????????? -> ????????
Err_16156;F-Parameter configuration and address switch value do not match -> Check I/O module F-Parameter configuration and module address switch value.;F-Parameter configuration and address switch value do not match -> Check I/O module F-Parameter configuration and module address switch value.;Konfiguration für F-Parameter und Wert des Adressschalters stimmen nicht überein -> Konfiguration für F-Parameter des E/A-Moduls und Wert des Adressschalters überprüfen.;;;F ????????????? -> ?? I/O ?? F ????????????.
Err_16158;Type of present module does not match configuration;Type of present module does not match configuration;Typ des vorhandenen Moduls stimmt nicht mit Konfiguration überein;;;????????????
Err_16159;Configured number of modules differs from found ones;Configured number of modules differs from found ones;Konfigurierte Anzahl von Modulen weicht von Anzahl gefundener Module ab;;;?????????????????
Err_16160;At least one module failed during configuration;At least one module failed during configuration;Mindestens ein Modul während Konfiguration ausgefallen;;;???????????????
Err_16164;Internal data exchange failure -> Replace I/O module;Internal data exchange failure -> Replace I/O module;Fehler interner Datenaustausch -> E/A-Modul austauschen;;;???????? -> ?? I/O ??
Err_16168;Different hard-/firmware versions in the module -> Replace I/O module;Different hard-/firmware versions in the module -> Replace I/O module;Unterschiedliche Hardware-/Firmware-Versionen im Modul -> E/A-Modul austauschen;;;??????/?????? -> ?? I/O ??
Err_16171;Internal error -> Replace I/O module;Internal error -> Replace I/O module;Interner Fehler -> E/A-Modul austauschen;;;???? -> ?? I/O ??
Err_16172;Has not passed factory test;Has not passed factory test;Hat Werksprüfung nicht bestanden;;;???????
Err_16173;No process voltage UP or UP3 -> Check process voltage;No process voltage UP or UP3 -> Check process voltage;Keine Prozessspannung UP oder UP3 -> Prozessspannung prüfen;;;????? UP ? UP3 -> ??????
Err_16175;Sensor voltage too low;Sensor voltage too low;Sensorspannung zu niedrig;;;???????
Err_16194;Fatal error, not running any more;Fatal error, not running any more;Schwerwiegender Fehler, Ausführung gestoppt;;;????,????
Err_16246;Failed to start the parameterization of modules;Failed to start the parameterization of modules;Starten von Parametrierung für Module fehlgeschlagen;;;??????????
Err_16247;Failed setting parameters;Failed setting parameters;Einstellen von Parametern fehlgeschlagen;;;??????
Err_16248;Failed setting expected module;Failed setting expected module;Einstellen des erwarteten Moduls fehlgeschlagen;;;????????
Err_16254;Size of parameters expected by module differs from size provided by configuration;Size of parameters expected by module differs from size provided by configuration;Vom Modul erwartete Parametergröße weicht von der in der Konfiguration angegebenen Größe ab;;;?????????????????????
Err_18;Test error;Test error;Testfehler;;;????
Err_25;Stuck at error -> Check I/O module wiring. Restart I/O module, if needed. If this error persists, replace I/O module.;Stuck at error -> Check I/O module wiring. Restart I/O module, if needed. If this error persists, replace I/O module.;Hängengeblieben bei Fehler -> Verdrahtung des E/A-Moduls überprüfen. Bei Bedarf E/A-Modul neu starten. Falls der Fehler weiterhin besteht, E/A-Modul austauschen.;;;????? -> ?? I/O ????. ????,???? I/O ??. ?????????,??? I/O ??.
Err_257;Wrong measurement, false temperature at the compensation channel;Wrong measurement, false temperature at the compensation channel;Falscher Messwert, falsche Temperatur an Kompensationskanal;;;?????,????????
Err_258;AI531: Wrong measurement$; potential difference is too high$; CD522: PWM duty cycle out of duty area;AI531: Wrong measurement$; potential difference is too high$; CD522: PWM duty cycle out of duty area;AI531: Falscher Messwert$; Potenzialdifferenz zu hoch$; CD522: PWM-Einschaltdauer außerhalb des Einschaltbereichs;;;AI531:????$; ?????$; CD522: PWM ??????????
Err_260;Measurement overflow -> Check channel wiring and sensor power supply;Measurement overflow -> Check channel wiring and sensor power supply;Messwertüberschreitung -> Kanalverdrahtung und Spannungsversorgung des Sensors prüfen;;;????? -> ????????????
Err_263;Measurement underflow -> Check channel wiring and sensor power supply;Measurement underflow -> Check channel wiring and sensor power supply;Messwertunterschreitung -> Kanalverdrahtung und Spannungsversorgung des Sensors prüfen;;;????? -> ????????????
Err_266;Short circuit and cut wire or $"out of range$";Short circuit and cut wire or $"out of range$";Kurzschluss und Drahtbruch oder „außerhalb des zulässigen Bereichs“;;;??????“????”
Err_267;Output/process voltage too low;Output/process voltage too low;Ausgangs-/Prozessspannung zu gering;;;??/??????
Err_273;Test error;Test error;Testfehler;;;????
Err_28;Cross-talk error -> Check I/O module wiring. Restart I/O module, if needed. If this error persists, replace I/O module.;Cross-talk error -> Check I/O module wiring. Restart I/O module, if needed. If this error persists, replace I/O module.;Fehler Kanalübersprechen -> Verdrahtung des E/A-Moduls überprüfen. Bei Bedarf E/A-Modul neu starten. Falls der Fehler weiterhin besteht, E/A-Modul austauschen.;;;???? -> ?? I/O ????. ????,???? I/O ??. ?????????,??? I/O ??.
Err_3;Discrepancy time expired -> Check discrepancy time value, channel wiring and sensor.;Discrepancy time expired -> Check discrepancy time value, channel wiring and sensor.;Diskrepanzzeit abgelaufen -> Diskrepanzzeit-Wert, Kanalverdrahtung und Sensor überprüfen.;;;?????? -> ????????????????.
Err_303;Short circuit at analog input -> Check channel wiring;Short circuit at analog input -> Check channel wiring;Kurzschluss an Analogeingang -> Kanalverdrahtung prüfen;;;??????? -> ??????
Err_304;Analog value overflow or broken wire at an analog input -> Check value or check terminals;Analog value overflow or broken wire at an analog input -> Check value or check terminals;Analogwert-Überlauf oder Drahtbruch an Analogeingang -> Wert oder Terminals prüfen;;;????????????? -> ????????
Err_311;Value difference too high -> Adjust tolerance window for channels. Check channel wiring and sensor configuration.;Value difference too high -> Adjust tolerance window for channels. Check channel wiring and sensor configuration.;Wertdifferenz zu groß -> Toleranzfenster für Kanäle einstellen. Kanalverdrahtung und Sensorkonfiguration prüfen.;;;????? -> ?????????. ????????????.
Err_524;Stuck at error;Stuck at error;Hängengeblieben bei Fehler;;;?????
Err_525;Readback error -> Check I/O module wiring. Restart I/O module, if needed. If this error persists, replace I/O module.;Readback error -> Check I/O module wiring. Restart I/O module, if needed. If this error persists, replace I/O module.;Fehler Rücklesen -> Verdrahtung des E/A-Moduls überprüfen. Bei Bedarf E/A-Modul neu starten. Falls der Fehler weiterhin besteht, E/A-Modul austauschen.;;;???? -> ?? I/O ????. ????,???? I/O ??. ?????????,??? I/O ??.
Err_530;Class 3: Cross-talk error$; Class 4: Internal fuse at 0V is defect. 0V not connected with GND -> Check I/O module wiring. Restart I/O module, if needed. If this error persists, replace I/O module.;Class 3: Cross-talk error$; Class 4: Internal fuse at 0V is defect. 0V not connected with GND -> Check I/O module wiring. Restart I/O module, if needed. If this error persists, replace I/O module.;Klasse 3: Fehler Kanalübersprechen$; Klasse 4: Interne Sicherung an 0 V defekt. 0 V nicht an GND angeschlossen -> Verdrahtung des E/A-Moduls überprüfen. Bei Bedarf E/A-Modul neu starten. Falls der Fehler weiterhin besteht, E/A-Modul austauschen.;;;3 ?:????$; 4 ?:0V ?????????. 0V ??? GND -> ?? I/O ????. ????,???? I/O ??. ?????????,??? I/O ??.
Err_540;Test error;Test error;Testfehler;;;????
Err_555;Internal error;Internal error;Interner Fehler;;;????
Err_559;Short circuit at digital output -> Check channel wiring;Short circuit at digital output -> Check channel wiring;Kurzschluss an Digitalausgang -> Kanalverdrahtung prüfen;;;??????? -> ??????
Err_772;Measurement overflow -> Check channel wiring;Measurement overflow -> Check channel wiring;Messwertüberschreitung -> Kanalverdrahtung prüfen;;;????? -> ??????
Err_775;Measurement underflow at analog input -> Check channel wiring;Measurement underflow at analog input -> Check channel wiring;Messwertunterschreitung an Analogausgang -> Kanalverdrahtung prüfen;;;?????????? -> ??????
Err_796;Different configuration;Different configuration;Abweichende Konfiguration;;;????
Err_8480;Not supported protocol variant;Not supported protocol variant;Nicht unterstützte Protokollvariante;;;????????
Err_8482;Class 2: Timeout while initializing$; Class 4: Timeout while waiting for ready status;Class 2: Timeout while initializing$; Class 4: Timeout while waiting for ready status;Klasse 2: Timeout bei Initialisierung$; Klasse 4: Timeout beim Warten auf Status „Bereit“;;;2 ?:?????$; 4 ?:????????
Err_8483;Timeout during parameterization;Timeout during parameterization;Timeout bei Parametrierung;;;???????
Err_8707;PROFIsafe watchdog timed out;PROFIsafe watchdog timed out;Timeout von PROFIsafe-Watchdog;;;PROFIsafe ?????
Err_8708;Overvoltage;Overvoltage;Überspannung;;;???
Err_8711;Undervoltage;Undervoltage;Unterspannung;;;???
Err_8722;Internal error;Internal error;Interner Fehler;;;????
Err_8723;Checksum error has occured in iParameters;Checksum error has occured in iParameters;Prüfsummenfehler in iParameter;;;i ??????????
Err_8724;PROFIsafe communication error;PROFIsafe communication error;PROFIsafe-Kommunikationsfehler;;;PROFIsafe ????
Err_8732;Internal error;Internal error;Interner Fehler;;;????
Err_8747;Internal runtime error;Internal runtime error;Interner Laufzeitfehler;;;???????
Err_8961;Wrong parameter value, check configuration;Wrong parameter value, check configuration;Falscher Parameterwert, Konfiguration prüfen;;;?????,?????
Err_8979;Checksum error has occured in iParameter or F-Parameters;Checksum error has occured in iParameter or F-Parameters;Prüfsummenfehler in iParameter oder F-Parametern;;;i ??? F ??????????
Err_8986;Invalid configuration -> Check modules and parameterization;Invalid configuration -> Check modules and parameterization;Ungültige Konfiguration -> Module und Parametrierung prüfen;;;???? -> ????????
